centro_titular|municipio_codigo|distrito_nombre|direccion_via_nombre|centro_tipo_descripcion|dat_codigo|direccion_codigo_postal|centro_titularidad|contacto_telefono2|contacto_telefono3|centro_tipo_desc_abreviada|direccion_numero|contacto_telefono1|centro_codigo|contacto_web|dat_nombre|centro_tipo_codigo|municipio_nombre|distrito_codigo|contacto_fax|direccion_coor_y|direccion_coor_x|direccion_via_tipo|centro_nombre|contacto_telefono4|contacto_email1|promedio_x|promedio_y|distancia|row_num
GESTION Y FORMACION EDUCATIVA LAZARILLO-08, S.L.|058||de Sevilla|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28941|PRIVADO CONCERTADO|638216411||CPR INF-PRI-SEC|10|916153789|28040623|http://www.colegiolaamistad.com|Madrid-Sur|072|Fuenlabrada||911165984|4460399.0|432295.0|CALLE|CENTRO EDUCATIVO LA AMISTAD||cc.laamistad.fuenlabrada@educa.madrid.org|432295.0|4460399.0|0.0|1
GHOSTLAND EDUCACION, S.L.|079|Ciudad Lineal|del General Aranaz|ESCUELA INFANTIL PRIVADA|5|28027|PRIVADO|677934452||EIPR|65|917422469|28061134|http://www.cangurito.com|Madrid-Capital|008|Madrid|15||4477351.0|445626.0|CALLE|CANGURITO||cangurito@cangurito.com|445626.0|4477351.0|0.0|1
GONZALEZ YARZ, S.L.|006||de Ceuta|ESCUELA INFANTIL PRIVADA|1|28100|PRIVADO|657563230|661400236|EIPR|12|916613590|28056898||Madrid-Norte|008|Alcobendas|||4487855.0|446047.0|CALLE|GARABATO||nuriayarz@gmail.com|446047.0|4487855.0|0.0|1
GREDOS SAN DIEGO SOCIEDAD COOPERATIVA MADRILEÑA|027||de Madrid|CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA|1|28730|PRIVADO CONCERTADO|918680200|917861347|CPR PRI-SEC|18|918680150|28001976|www.gsdeducacion.com |Madrid-Norte|073|Buitrago del Lozoya||918680421|4537673.0|446290.0|AVDA|GSD INTERNATIONAL SCHOOL BUITRAGO||cc.gredossandiego.buitrago@educa.madrid.org|446290.0|4537673.0|0.0|1
GREDOS SAN DIEGO, SDAD. COOP. MADRILEÑA|079|Moratalaz|de Luis de Hoyos Sáinz|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28030|PRIVADO CONCERTADO|917861347||CPR INF-PRI-SEC|170|917723811|28056886|https://www.gsdeducacion.com/ |Madrid-Capital|072|Madrid|14|917723121|4472732.0|446671.0|CALLE|GSD MORATALAZ||cc.gsandiegomoratalaz.madrid@educa.madrid.org|429080.5|4483017.5|20376.879066726582|1
GREDOS-SAN DIEGO, SDAD. COOP. MADRILEÑA|079|Puente de Vallecas|del Parque de Palomeras Bajas|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28018|PRIVADO CONCERTADO|917861347||CPR INF-PRI-SEC|14|917853412|28045566|https://www.gsdeducacion.com/ |Madrid-Capital|072|Madrid|13|917853822|4470152.0|443749.0|AVDA|GSD VALLECAS||cc.gredossandiego.madrid@educa.madrid.org|443749.0|4470152.0|0.0|1
GRIMM INICIATIVA PEDAGOGICA, S.L.|068||Valle del Alberche|CENTRO PRIVADO DE EDUCACIÓN INFANTIL|4|28430|PRIVADO|695535195||CPR INF|45|918502244|28059073|http://www.escuelawaldorfgrimm.com|Madrid-Oeste|004|Guadarrama|||4499945.0|412326.0|CALLE|GRIMM|||412326.0|4499945.0|0.0|1
GRISSA, S.L.|079|Moncloa-Aravaca|de la Osa Mayor|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28023|PRIVADO CONCERTADO|913071144||CPR INF-PRI-SEC|239|913070330|28012032|http://www.colegiolosrobles.net|Madrid-Capital|072|Madrid|09|913572819|4478554.0|432727.0|AVDA|LOS ROBLES||cc.losrobles.madrid@educa.madrid.org|432727.0|4478554.0|0.0|1
GROW WITH US, S.L.|079|San Blas-Canillejas|del General Aranaz|CENTRO PRIVADO DE EDUCACIÓN INFANTIL|5|28027|PRIVADO|671525992||CPR INF|85|917434536|28064159|http://sanjorgeschool.com|Madrid-Capital|004|Madrid|20||4477607.0|445222.0|CALLE|SAN JORGE||directora@sanjorgeschool.com|445222.0|4477607.0|0.0|1
GRUPO EDUCATIVO VILLA DE MOSTOLES, S.L.|092||Camino de Humanes|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28938|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|40|916453055|28023066|www.colegio-villademostoles.com|Madrid-Sur|072|Móstoles||916457401|4462893.0|427149.0|CALLE|VILLA DE MOSTOLES||cc.villademostoles.mostoles@educa.madrid.org|427149.0|4462893.0|0.0|1
GRUPO PEDAGOGICO DICA, S.L.|079|Chamartín|de Clara del Rey|ESCUELA INFANTIL PRIVADA|5|28002|PRIVADO|689239493||EIPR|33|914158793|28063398|http://www.escuelainfantilpippo.com|Madrid-Capital|008|Madrid|05||4477051.0|443093.0|CALLE|PIPPO||escinfpippo@gmail.com|443093.0|4477051.0|0.0|1
GRUPO ZOLA EDUCACION, S.L. UNIPERSONAL|127||Esparta|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|4|28232|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|6|916316253|28041101|http://www.educa.madrid.org/cc.zola.lasrozas|Madrid-Oeste|072|Rozas de Madrid, Las||916316158|4485066.0|422548.0|AVDA|ZOLA-ROZAS||cc.zola.lasrozas@educa.madrid.org|422548.0|4485066.0|0.0|1
GUADALUPE ABRIL HUERTAS|079|Arganzuela|de Cáceres|CENTRO PRIVADO DE EDUCACIÓN INFANTIL|5|28045|PRIVADO|691669616||CPR INF|50|914736299|28028490| info@escuelainfantilpipos.es|Madrid-Capital|004|Madrid|02||4472283.0|440595.0|CALLE|PIPO'S|||440595.0|4472283.0|0.0|1
GUARDERIA INFANTIL PRIMEROS PASOS, S.L.|079|Puente de Vallecas|del Campo de la Paloma|ESCUELA INFANTIL PRIVADA|5|28018|PRIVADO|||EIPR|12|917788144|28059140||Madrid-Capital|008|Madrid|13||4470638.0|445118.0|CALLE|PRIMEROS PASOS||primeros.pasos@hotmail.com|445118.0|4470638.0|0.0|1
GUARDERIA KIKA S.L. UNIPERSONAL|079|Arganzuela|de la Antracita|ESCUELA INFANTIL PRIVADA|5|28045|PRIVADO|629689041||EIPR|24|914674492|28062783|www.escuelainfantilkika.com|Madrid-Capital|008|Madrid|02||4471379.0|441675.0|CALLE|KIKA||info@escuelainfantilkika.com|441675.0|4471379.0|0.0|1
GUARDERIA LA CASITA VERDE, S.L.|045||del Puente del Grajal|ESCUELA INFANTIL PRIVADA|1|28770|PRIVADO|634313599||EIPR|1|633235349|28060919|http://www.lacasitaverde.net|Madrid-Norte|008|Colmenar Viejo|||4502806.0|434092.0|CALLE|LA CASITA VERDE||lacasitaverde@gmail.com|434092.0|4502806.0|0.0|1
GUARDERIA LAZARO, S.L.|079|Ciudad Lineal|de los Hermanos Gómez|ESCUELA INFANTIL PRIVADA|5|28017|PRIVADO|||EIPR|42|914086800|28058317|http://www.escuelainfantillazaro.com|Madrid-Capital|008|Madrid|15||4475605.0|444894.0|CALLE|LAZARO||info@escuelainfantillazaro.com|444894.0|4475605.0|0.0|1
GUARDERIA MUPRA 2000, S.L.|079|Villaverde|de La Chulapona|ESCUELA INFANTIL PRIVADA|5|28041|PRIVADO|640221289||EIPR|8|913179895|28064470||Madrid-Capital|008|Madrid|17||4467970.0|440797.0|CALLE|LOS PITUFOS||mupra2000@hotmail.com|440797.0|4467970.0|0.0|1
GUARDERIA ÑECOS, S.L. UNIPERSONAL|079|Ciudad Lineal|de Guillén de Castro|ESCUELA INFANTIL PRIVADA|5|28017|PRIVADO|635449759||EIPR|10|913770231|28064433||Madrid-Capital|008|Madrid|15||4475436.0|445331.0|CALLE|ÑECOS||martaaguayo20@hotmail.es|445331.0|4475436.0|0.0|1
GUARDERÍAS QUITA Y PON, S.L.|079|Tetuán|de Don Quijote|ESCUELA INFANTIL PRIVADA|5|28020|PRIVADO|617815233||EIPR|41|915333044|28064500|www.escuelainfantilquitaypon.com|Madrid-Capital|008|Madrid|06||4477943.0|440716.0|CALLE|QUITA Y PON||contabilidadquitaypon@gmail.com|440716.0|4477943.0|0.0|1
HEIDI GARABATOS, S.A.|065||Fénix|ESCUELA INFANTIL PRIVADA|2|28905|PRIVADO|916826208||EIPR|s/n||28061021||Madrid-Sur|008|Getafe|||4460028.0|436420.0|CALLE|HEIDI GARABATOS|||437250.0|4460806.0|1137.6220813609411|1
HELENA FERNÁNDEZ GARCÍA|106||Nardo|ESCUELA INFANTIL PRIVADA|2|28981|PRIVADO|||EIPR|2|916995995|28057121|http://www.eipituco.es|Madrid-Sur|008|Parla|||4453821.0|434055.0|CALLE|PITUCO||eipituco1@gmail.com|434055.0|4453821.0|0.0|1
HERMANAS OVEJERO PUENTE, S.L.|079|Moncloa-Aravaca|de Evaristo San Miguel|ESCUELA INFANTIL PRIVADA|5|28008|PRIVADO|||EIPR|11|915478067|28056874|http://www.eljardindelosgenios.es|Madrid-Capital|008|Madrid|09||4475322.0|439283.0|CALLE|EL JARDIN DE LOS GENIOS||contacto@eljardindelosgenios.es|439283.0|4475322.0|0.0|1
HERMANDAD DEL REFUGIO Y PIEDAD|079|Centro|de la Puebla|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28004|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|20|915219758|28008791|http://www.pconcepcion.escuelateresiana.com|Madrid-Capital|072|Madrid|01|915232836|4474870.0|440314.0|CALLE|PURISIMA CONCEPCION||cc.purisimaconcepcion.madrid@educa.madrid.org|440314.0|4474870.0|0.0|1
HERMANOS DE LAS ESCUELAS CRISTIANAS|079|Centro|de la Paloma|CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA|5|28005|PRIVADO CONCERTADO|||CPR INF-PRI|21|913641082|28020041|http://www.lasallelapaloma.es|Madrid-Capital|015|Madrid|01|913651428|4473301.0|439601.0|CALLE|LA SALLE-LA PALOMA-FUNDACION LARA||cc.nspaloma.madrid@educa.madrid.org|439601.0|4473301.0|0.0|1
HH. MARIA MADRE DE LA IGLESIA|079|Tetuán|del Marqués de Viana|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28039|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|43|915717414|28017741|http://www.colegiosanjosemadrid.es|Madrid-Capital|072|Madrid|06|915716433|4479296.0|440495.0|CALLE|SAN JOSE||cc.sanjosetetuan.madrid@educa.madrid.org|440495.0|4479296.0|0.0|1
HIJAS DE LA CARIDAD DE SAN VICENTE DE PAUL|079|Carabanchel|Vía Carpetana|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28047|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|105|914661300|28008922|http://www.educa.madrid.org/cc.smmicaela.madrid|Madrid-Capital|072|Madrid|11|914662099|4471793.0|437303.0|CALLE|SANTA MARIA MICAELA||cc.smmicaela.madrid@educa.madrid.org|436110.5833333333|4472747.333333333|1527.288321848566|1
HIJAS DE MARIA AUXILIADORA|079|Tetuán|de Villaamil|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28039|PRIVADO CONCERTADO|618967941||CPR INF-PRI-SEC|18|913110750|28020429|http://www.colegiomariaauxiliadora.org|Madrid-Capital|072|Madrid|06|913110462|4478864.0|440105.0|CALLE|MARIA AUXILIADORA||cc.mariaauxiliadora.madrid@educa.madrid.org|440124.75|4478424.5|439.9435333085372|1
HIJAS DE SANTA MARIA DEL CORAZON DE JESUS|061||de Escorial|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|4|28260|PRIVADO|918585691||CPR INF-PRI-SEC|s/n|918585558|28045578|www.hsmcj.org|Madrid-Oeste|072|Galapagar||918586256|4491612.0|415936.0|CTRA|VERACRUZ||veracruz-es@hsmcj.org|415936.0|4491612.0|0.0|1
HIJAS DEL PATROCINIO DE MARIA|079|Hortaleza|de Umbría|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28043|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|31|913001605|28011209|http://www.educa.madrid.org/cc.patrociniodemaria.madrid|Madrid-Capital|072|Madrid|16|913885326|4478441.0|445063.0|CALLE|PATROCINIO DE MARIA||cc.patrociniodemaria.madrid@educa.madrid.org|443228.0|4473629.5|5149.53951824821|1
HISPANO INGLESA DE EDUCACION, S.A.|022||Río Guadiana|CENTRO DOCENTE EXTRANJERO EN ESPAÑA|4|28669|PRIVADO|916330611||CEXTRAN ESP|2|916330078|28057878||Madrid-Oeste|094|Boadilla del Monte||916322527|4475988.0|421943.0|CALLE|ST. MICHAEL'S SCHOOL II (BRITANICO)||stmichaelsschool@stmichaelsschool.es|421943.0|4475988.0|0.0|1
HNAS. CARMELITAS TERESIANAS DE SAN JOSE|079|Latina|de Nuñomoral|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28044|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|1|917052427|28011490|http://www.educa.madrid.org/cc.carmeloteresiano.madrid|Madrid-Capital|072|Madrid|10|917106655|4469897.0|433895.0|CALLE|EL CARMELO TERESIANO||cc.carmeloteresiano.madrid@educa.madrid.org|433895.0|4469897.0|0.0|1
HNAS. DE LA CARIDAD DEL SGDO. CORAZON DE JESUS|085||San Pablo|CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA|1|28792|PRIVADO CONCERTADO|||CPR INF-PRI|s/n|918443579|28022918|http://sanpablo.corazonistas.org|Madrid-Norte|015|Miraflores de la Sierra||918443579|4518663.0|436029.0|CALLE|SAN PABLO||cc.sanpablo.miraflores@educa.madrid.org|439882.5|4497151.0|21854.4184605768|1
HNAS. DE LA CARIDAD DEL SGDO.CORAZON DE JESUS|079|Salamanca|de Jorge Juan|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28028|PRIVADO CONCERTADO|913559054||CPR INF-PRI-SEC|165|913559055|28013723|safajj.corazonistas.org|Madrid-Capital|072|Madrid|04|913564995|4474898.0|443615.0|CALLE|SAGRADA FAMILIA||cc.sagradafamilia.madrid@educa.madrid.org|443615.0|4474898.0|0.0|1
HNAS. DE LA CARIDAD DEL SGDO.CORAZON JESUS|079|Villaverde|Real de Pinto|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28021|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|41|917970146|28013036|http://nscarmen.corazonistas.org/|Madrid-Capital|072|Madrid|17||4466272.0|439986.0|AVDA|NUESTRA SEÑORA DEL CARMEN||cc.nscarmen.madrid@educa.madrid.org|439986.0|4466272.0|0.0|1
HNAS. DE LA PRESENTACION DE LA VIRGEN MARIA|079|Vicálvaro|de la Vicalvarada|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28032|PRIVADO CONCERTADO|917769090||CPR INF-PRI-SEC|1|917764323|28042498|http://www.educa.madrid.org/cc.pnuestrasenora.madrid|Madrid-Capital|072|Madrid|19|917764672|4473427.0|448235.0|PLAZA|LA PRESENTACION DE NUESTRA SEÑORA||cc.pnuestrasenora.madrid@educa.madrid.org|448235.0|4473427.0|0.0|1
HNAS. DE NTRA. SRA. DE LA CONSOLACION|079|Chamartín|de la Madre Molas|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28036|PRIVADO CONCERTADO|913592904||CPR INF-PRI-SEC|2|913592905|28013051|http://www.consolacionmadrid.com|Madrid-Capital|072|Madrid|05||4479378.0|441975.0|PLAZA|NUESTRA SEÑORA DE LA CONSOLACION||cc.nsconsolacion.madrid@educa.madrid.org|441975.0|4479378.0|0.0|1
HNAS. DE NUESTRA SEÑORA DE LA COMPASION|079|Hortaleza|de Luis de la Mata|CENTRO PRIVADO DE EDUCACIÓN ESPECIAL|5|28042|PRIVADO CONCERTADO|||CPR EE|24|917413838|28012664|http://www.educa.madrid.org/cc.mariacorredentora.madrid|Madrid-Capital|021|Madrid|16|917429576|4478353.0|447965.0|CALLE|MARIA CORREDENTORA||cc.mariacorredentora.madrid@educa.madrid.org|447965.0|4478353.0|0.0|1
HNAS. DEL AMOR DE DIOS|079|San Blas-Canillejas|de Gutiérrez Canales|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28022|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|15|917410114|28011246|http://www.educa.madrid.org/cc.amordedios.madrid|Madrid-Capital|072|Madrid|20|917415820|4477663.0|447899.0|CALLE|AMOR DE DIOS||cc.amordedios.madrid@educa.madrid.org|447899.0|4477663.0|0.0|1
HNAS. DEL SANTO ANGEL DE LA GUARDA|079|Puente de Vallecas|de Villuercas|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28053|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|4|917855661|28009801|http://www.educa.madrid.org/cc.sangelguarda.madrid|Madrid-Capital|072|Madrid|13|915074266|4469494.0|443355.0|CALLE|SANTO ANGEL DE LA GUARDA||cc.sangelguarda.madrid@educa.madrid.org|443355.0|4469494.0|0.0|1
HNAS. HOSPITALARIAS DE JESUS NAZARENO|065||del Hospital de San José|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28901|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|28|916950321|28003110|http://www.colegiojesusnazareno.es|Madrid-Sur|072|Getafe||916962414|4461929.0|438102.0|CALLE|JESUS NAZARENO||cc.jesusnazareno.getafe@educa.madrid.org|438102.0|4461929.0|0.0|1
HNAS. MERCEDARIAS DE LA CARIDAD|079|Chamartín|de Alfonso XIII|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28016|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|165|913508706|28013255|http://nsm.madrid.mercedariasdelacaridad.es|Madrid-Capital|072|Madrid|05|913502909|4479029.0|442393.0|AVDA|NUESTRA SEÑORA DE LA MERCED||cc.nsmerced.madrid@educa.madrid.org|442393.0|4479029.0|0.0|1
HNAS. SALESIANAS DEL SAGRADO CORAZON DE JESUS|079|Salamanca|de Ferrer del Río|ESCUELA INFANTIL PRIVADA|5|28028|PRIVADO CONCERTADO|913557668||EIPR|26|917256327|28026158||Madrid-Capital|008|Madrid|04|917269457|4476255.0|443075.0|CALLE|CUNA DE JESUS||cc.cunadejesus.madrid@educa.madrid.org|443075.0|4476255.0|0.0|1
HNAS. SALESIANAS DEL SAGRADO. CORAZON DE JESUS|079|Retiro|de Valderribas|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28007|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|2|915511655|28013802|http://www.educa.madrid.org/cc.scorazondejesus-retiro.madrid|Madrid-Capital|072|Madrid|03||4473080.0|442283.0|CALLE|SAGRADO CORAZON DE JESUS||cc.scorazondejesus-retiro.madrid@educa.madrid.org|442283.0|4473080.0|0.0|1
HNOS. DE LA SAGRADA FAMILIA|079|Moratalaz|de Oberón|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28030|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|6|913015281|28046509|http://www.safamadrid.com|Madrid-Capital|072|Madrid|14|913015287|4473064.0|446095.0|CALLE|SAGRADA FAMILIA||cc.sagradafamilia-moratalaz.madrid@educa.madrid.org|446095.0|4473064.0|0.0|1
HNOS. DE LAS ESCUELAS CRISTIANAS|079|Latina|Blas Carrera|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28044|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|50|917050011|28013863|https://www.institucionlasalle.es/colegio/|Madrid-Capital|072|Madrid|10|917058368|4470021.0|434294.0|CALLE|LA SALLE||cc.lasalle.madrid@educa.madrid.org|434398.3333333333|4466409.0|3613.506530289442|1
HNOS. DE SAN GABRIEL|079|Carabanchel|de Eugenia de Montijo|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28025|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|92|914665121|28014570|http://www.educa.madrid.org/cc.sangabriel.madrid|Madrid-Capital|072|Madrid|11|914617026|4469951.0|436432.0|CALLE|SAN GABRIEL||cc.sangabriel.madrid@educa.madrid.org|436432.0|4469951.0|0.0|1
HNOS. MARISTAS|079|Chamberí|de Rafael Calvo|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28010|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|12|914456250|28020120|http://www.chamberi.es|Madrid-Capital|072|Madrid|07|914440340|4476130.0|441009.0|CALLE|CHAMBERI||cc.chamberi.madrid@educa.madrid.org|434160.0|4484391.333333333|10731.189563344751|1
IGNACIO HAZAS VIAMONTE|061||Dehesillas|ESCUELA INFANTIL PRIVADA|4|28260|PRIVADO|649589597|649589577|EIPR|4|911644410|28048841||Madrid-Oeste|008|Galapagar|||4492084.0|414396.0|CALLE|CASCARON||escuelainfantilcascaron@hotmail.com|414396.0|4492084.0|0.0|1
IGNACIO Y ALVARO RUIZ-ANDINO ILLERA|079|Ciudad Lineal|del Condado de Treviño|ESCUELA INFANTIL PRIVADA|5|28033|PRIVADO|||EIPR|35|913830309|28050264||Madrid-Capital|008|Madrid|15||4481336.0|443302.0|CALLE|CASCABEL||eicascabel@hotmail.com|443302.0|4481336.0|0.0|1
IMARIA ANGELES HERREROS SERRANO|065||Fuenlabrada|ESCUELA INFANTIL PRIVADA|2|28901|PRIVADO|653525204|654219131|EIPR|30|916823122|28034684|http://www.micoleceden.com|Madrid-Sur|008|Getafe|||4461637.0|437610.0|CALLE|MI COLE-CEDEN||micole.ceden@gmail.com|437610.0|4461637.0|0.0|1
IMARO EDUCA, S.L.|903||Embarcaciones|ESCUELA INFANTIL PRIVADA|1|28760|PRIVADO|640758869||EIPR|26|918043005|28061833||Madrid-Norte|008|Tres Cantos||918043005|4494333.0|440539.0|SECT|HIPOPOTAMO BLAS||escuela@hipopotamoblas.es|440539.0|4494333.0|0.0|1
INFANTIL VILLALBA, S.L.|047||Cordel de Valladolid|CENTRO PRIVADO DE EDUCACIÓN INFANTIL|4|28400|PRIVADO|||CPR INF|3|918512266|28061596||Madrid-Oeste|004|Collado Villalba||918512266|4498790.0|414044.0|CALLE|ARCO IRIS||arcoiris.infantil@yahoo.es|414044.0|4498790.0|0.0|1
INGGY KIDS, S.L.|134||de Somosierra|ESCUELA INFANTIL PRIVADA|1|28703|PRIVADO|667494604||EIPR|20|916513169|28062758||Madrid-Norte|008|San Sebastián de los Reyes|||4489443.0|447932.0|AVDA|MINIMUS||emontes@minimus.es|447932.0|4489443.0|0.0|1
INGLAN, S.A.|065||de la Paloma|CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA|2|28904|PRIVADO CONCERTADO|916818011||CPR FPE|5|916951369|28025877|http://www.educa.madrid.org/cc.inglan.getafe|Madrid-Sur|058|Getafe||916818061|4462306.0|437944.0|CALLE|INGLAN||cc.inglan.getafe@educa.madrid.org|437029.5|4461604.5|1152.5677854252217|1
INMACULADA JULIA ESCOBAR REDONDO|079|Usera|de Gabriel Usera|ESCUELA INFANTIL PRIVADA|5|28026|PRIVADO|677435171||EIPR|39|910662326|28061407||Madrid-Capital|008|Madrid|12||4470685.0|439861.0|CALLE|NUBES||nubes@escuelainfantilnubes.es|439861.0|4470685.0|0.0|1
INSDE, S.L.|079|Chamartín|de Serrano|CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA|5|28002|PRIVADO|||CPR INF-PRI|198|915638420|28014223|http://www.educa.madrid.org/cpr.sanpatricio-serrano.madrid|Madrid-Capital|015|Madrid|05||4477963.0|442176.0|CALLE|SAN PATRICIO||infoserrano@colegiosanpatricio.es|443908.0|4481881.0|4283.753961188714|1
INSIDE, S.L.|006||de Alcobendas|CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA|1|28109|PRIVADO|||CPR INF-PRI|9|916500791|28037879|http://www.educa.madrid.org/cpr.sanpatricio-lamoraleja.alcobendas|Madrid-Norte|015|Alcobendas||916500748|4486480.0|446806.0|PASEO|SAN PATRICIO||infomoraleja@colegiosanpatricio.es|446806.0|4486480.0|0.0|1
INSTIT.CALASANCIO H.DIVINA PASTORA|065||Pablo Iglesias|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28901|PRIVADO CONCERTADO|679531999||CPR INF-PRI-SEC|5|916950519|28003262|http://www.divinapastoragetafe.es|Madrid-Sur|072|Getafe|||4462327.0|437718.0|PASEO|DIVINA PASTORA||cc.divinapastora.getafe@educa.madrid.org|437718.0|4462327.0|0.0|1
INSTITUCION DE HERMANOS DEL SAGRADO CORAZON|079|Chamartín|de Alfonso XIII|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28016|PRIVADO CONCERTADO|913431349||CPR INF-PRI-SEC|127|913531380|28008909|http://www.educa.madrid.org/cc.sagradocorazon-chamartin.madrid|Madrid-Capital|072|Madrid|05|913592142|4479031.0|443112.0|AVDA|SAGRADO CORAZON||cc.sagradocorazon-chamartin.madrid@educa.madrid.org|443112.0|4479031.0|0.0|1
INSTITUCION SALESIANA|079|Carabanchel|de Don Bosco|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28044|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|3|915087640|28022475|http://www.salesianoscarabanchel.com|Madrid-Capital|072|Madrid|11|915086152|4469559.0|436069.0|RONDA|INSTITUCION PROFESIONAL SALESIANA||cc.salesianoscarabanchel.madrid@educa.madrid.org|436069.0|4469559.0|0.0|1
INSTITUTO  BIENAVENTURADA VIRGEN MARIA|006||de Begonia|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|1|28109|PRIVADO|||CPR INF-PRI-SEC|275|916501500|28000777|http://www.irlandesaselsoto.net/|Madrid-Norte|072|Alcobendas|||4486106.0|445727.0|CALLE|BIENAVENTURADA VIRGEN MARIA||secretaria@irlandesaselsoto.net|445727.0|4486106.0|0.0|1
INSTITUTO BIENAVENTURADA VIRGEN MARIA|079|Latina|de Cullera|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28047|PRIVADO CONCERTADO|914651718||CPR INF-PRI-SEC|17|914623372|28022414|www.irlandesasmadrid.org|Madrid-Capital|072|Madrid|10|915251742|4472018.0|436573.0|CALLE|BIENAVENTURADA VIRGEN MARIA||cc.bienaventuradavmaria.madrid@educa.madrid.org|436573.0|4472018.0|0.0|1
INSTITUTO DE HH. SANTA MARIANA DE JESUS|079|Centro|de Salitre|ESCUELA INFANTIL PRIVADA|5|28012|PRIVADO CONCERTADO|639829743||EIPR|33|914685818|28059668|http://No|Madrid-Capital|008|Madrid|01|914685818|4473353.0|440662.0|CALLE|EL CAMINO||cc.elcamino.madrid@educa.madrid.org|440662.0|4473353.0|0.0|1
